symbol_id,universal_site_symbol,site_symbol,timestamp,quarter,report_date, report_time, consensus_est._eps_($)_(s), analyst, adjusted_actuals_eps_($), low, high, thomson_reuters_starmine_smartestimate_($)_, company_reported_gaap_eps_($), _reported_eps_($)
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2012, 07/24/12, --, 1.48, 44 Analysts, 1.33, -0.15, 1.35 ,  1.79, 1.49, 1.33, 1.33
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2012, 04/24/12, --, 1.43, 45 Analysts, 1.76, +0.33, 1.21 ,  1.69, 1.50, 1.76, 12.30
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2012, 01/24/12, --, 1.45, 48 Analysts, 1.98, +0.53, 1.27 ,  1.64, 1.50, 1.98, 13.87
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2011, 10/18/11, --, 1.06, 46 Analysts, 1.01, -0.05, 0.87 ,  1.22, 1.07, 1.01, 7.05
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2011, 07/19/11, --, 0.83, 50 Analysts, 1.11, +0.28, 0.72 ,  0.95, 0.87, 1.11, 7.79
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2011, 04/20/11, --, 0.77, 48 Analysts, 0.91, +0.14, 0.69 ,  0.85, 0.78, 0.91, 6.40
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2011, 01/18/11, --, 0.77, 47 Analysts, 0.92, +0.15, 0.70 ,  0.86, 0.79, 0.92, 6.43
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2010, 10/18/10, --, 4.08, 45 Analysts, 4.64, +0.56, 3.43 ,  4.48, 0.60, 0.66, 4.64
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2010, 07/20/10, --, 3.12, 41 Analysts, 3.51, +0.39, 2.65 ,  3.47, 0.46, 0.50, 3.51
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2010, 04/20/10, --, 2.45, 37 Analysts, 3.33, +0.88, 1.93 ,  2.72, 0.36, 0.48, 3.33
